epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3215.17,1.14993,0.72318,1.09925,0.97819,0.97547,0.98759,0.70467,1.06981,0.63316,1.07665,0.00104231,0.00104231,0.00104231
43,3289.92,1.1388,0.69776,1.10413,0.95018,0.95867,0.97678,0.69276,1.06534,0.65225,1.06603,0.00103288,0.00103288,0.00103288
44,3363.96,1.10419,0.69298,1.06901,0.94108,0.96528,0.98053,0.67495,1.1622,0.66407,1.1065,0.00102345,0.00102345,0.00102345
45,3440.03,1.16354,0.69903,1.08933,0.98044,0.95752,0.98725,0.68787,1.11042,0.64636,1.08619,0.00101402,0.00101402,0.00101402
46,3518.63,1.161,0.70667,1.11394,0.98187,0.97807,0.99187,0.6886,1.11952,0.62776,1.103,0.00100459,0.00100459,0.00100459
47,3593.16,1.13905,0.70236,1.10075,0.97532,0.97362,0.99091,0.69182,1.09495,0.64912,1.095,0.000995156,0.000995156,0.000995156
48,3667.47,1.13876,0.68701,1.10118,0.97,0.97917,0.98909,0.7024,1.06514,0.62384,1.07602,0.000985724,0.000985724,0.000985724
49,3742.76,1.12395,0.69202,1.10936,0.98079,0.9897,0.99162,0.69746,1.05416,0.59573,1.06699,0.000976293,0.000976293,0.000976293
50,3817.75,1.08381,0.67386,1.09019,0.98383,0.98335,0.98951,0.70948,1.04701,0.58165,1.06842,0.000966861,0.000966861,0.000966861
51,3894.08,1.10999,0.65708,1.08508,0.97762,0.98466,0.99102,0.7019,1.0512,0.57401,1.06935,0.00095743,0.00095743,0.00095743
52,3970.95,1.10294,0.67635,1.08203,0.97977,0.98046,0.99024,0.69898,1.08281,0.58176,1.07882,0.000947999,0.000947999,0.000947999
53,4045.99,1.09095,0.68367,1.07037,0.95654,0.97075,0.98771,0.7094,1.05286,0.61062,1.07124,0.000938567,0.000938567,0.000938567
54,4121.14,1.10433,0.66904,1.09141,0.97276,0.97188,0.98901,0.70602,1.0674,0.59057,1.06901,0.000929136,0.000929136,0.000929136
55,4198.76,1.09238,0.65499,1.0645,0.98138,0.99306,0.99305,0.71622,1.06541,0.58102,1.06775,0.000919704,0.000919704,0.000919704
56,4277.67,1.10481,0.64424,1.08357,0.98584,0.98234,0.99171,0.71554,1.04102,0.59837,1.07223,0.000910273,0.000910273,0.000910273
57,4354.15,1.11855,0.65331,1.08988,0.96516,0.98234,0.98884,0.7034,1.07681,0.60651,1.11005,0.000900842,0.000900842,0.000900842
58,4432.02,1.05621,0.63516,1.05929,0.98597,0.98003,0.99275,0.71184,1.0497,0.58028,1.08649,0.00089141,0.00089141,0.00089141
59,4524.85,1.10656,0.64988,1.09378,0.98533,0.98627,0.99274,0.69774,1.06885,0.58596,1.06768,0.000881979,0.000881979,0.000881979
60,4611.54,1.14104,0.65905,1.08902,0.96337,0.98697,0.98862,0.67228,1.17325,0.60391,1.11398,0.000872547,0.000872547,0.000872547
61,4697.16,1.15039,0.66832,1.09584,0.97324,0.98697,0.99068,0.70806,1.04745,0.57119,1.07161,0.000863116,0.000863116,0.000863116
62,4782.71,1.16055,0.65736,1.0917,0.96976,0.97801,0.9904,0.69517,1.07062,0.571,1.08915,0.000853685,0.000853685,0.000853685
63,4867.66,1.08885,0.64351,1.07765,0.98478,0.97826,0.99094,0.70524,1.0455,0.56848,1.07249,0.000844253,0.000844253,0.000844253
64,4958,1.09102,0.62934,1.08827,0.98798,0.98501,0.99174,0.70156,1.06478,0.55628,1.07465,0.000834822,0.000834822,0.000834822
65,5083.22,1.03911,0.59922,1.05661,0.9816,0.99113,0.99277,0.72185,1.0222,0.54394,1.0677,0.00082539,0.00082539,0.00082539
66,5190.14,1.08117,0.62427,1.08492,0.98669,0.99127,0.99209,0.72183,1.04978,0.55158,1.08544,0.000815959,0.000815959,0.000815959
67,5286.07,1.07148,0.59889,1.06665,0.98365,0.98767,0.99162,0.72087,1.03878,0.54563,1.06853,0.000806528,0.000806528,0.000806528
68,5378.4,1.07014,0.58201,1.085,0.98892,0.99117,0.99286,0.72183,1.02227,0.54457,1.06614,0.000797096,0.000797096,0.000797096
69,5469.51,1.03805,0.58849,1.09116,0.98004,0.99349,0.99068,0.71188,1.0474,0.54656,1.07902,0.000787665,0.000787665,0.000787665
70,5564.13,1.06749,0.60807,1.084,0.9894,0.99227,0.99318,0.71643,1.037,0.53261,1.07337,0.000778233,0.000778233,0.000778233
71,5658.14,1.09117,0.59323,1.07859,0.98244,0.98423,0.99179,0.70726,1.05962,0.5161,1.08704,0.000768802,0.000768802,0.000768802
72,5753.18,1.10271,0.59926,1.08004,0.97382,0.9817,0.99159,0.7117,1.0477,0.54057,1.0941,0.000759371,0.000759371,0.000759371
73,5848.22,1.06683,0.60085,1.07026,0.98101,0.98489,0.99274,0.71104,1.0622,0.54609,1.08457,0.000749939,0.000749939,0.000749939
74,5944.46,1.09423,0.63498,1.09233,0.97162,0.96843,0.98693,0.70873,1.0316,0.54438,1.07715,0.000740508,0.000740508,0.000740508
75,6045.98,1.04647,0.57921,1.07688,0.97792,0.98191,0.98971,0.72135,1.01204,0.51312,1.06388,0.000731076,0.000731076,0.000731076
76,6141.94,1.06312,0.57751,1.08449,0.9804,0.98218,0.98986,0.72556,1.05349,0.52236,1.07914,0.000721645,0.000721645,0.000721645
77,6235.43,1.02556,0.57158,1.05928,0.9813,0.98065,0.993,0.71253,1.06891,0.52921,1.07635,0.000712214,0.000712214,0.000712214
78,6328.57,1.04405,0.57522,1.06428,0.97672,0.99678,0.99327,0.72432,1.0388,0.50583,1.07144,0.000702782,0.000702782,0.000702782
79,6421.92,1.03,0.57177,1.06694,0.97704,0.99695,0.99282,0.72953,1.01918,0.49808,1.06982,0.000693351,0.000693351,0.000693351
80,6518.47,1.07268,0.59365,1.08793,0.9736,0.98839,0.99227,0.7183,1.04793,0.51493,1.0728,0.000683919,0.000683919,0.000683919
81,6616.65,1.09087,0.5996,1.06703,0.97326,0.98191,0.99116,0.73082,1.01049,0.50059,1.05665,0.000674488,0.000674488,0.000674488
82,6714.15,1.04048,0.5842,1.04867,0.96218,0.99074,0.98952,0.72937,1.00465,0.48933,1.06512,0.000665057,0.000665057,0.000665057
83,6800.34,1.04928,0.57477,1.08464,0.97446,0.99492,0.99239,0.72646,1.00418,0.50528,1.06566,0.000655625,0.000655625,0.000655625
84,6890.18,1.07232,0.57041,1.07799,0.981,0.98697,0.99204,0.72872,1.00709,0.50674,1.06469,0.000646194,0.000646194,0.000646194
85,6978.5,1.06116,0.57627,1.0629,0.99489,0.99204,0.99412,0.73395,0.99288,0.47824,1.0536,0.000636762,0.000636762,0.000636762
86,7067.11,1.06482,0.57144,1.06812,0.98746,0.99675,0.99406,0.73466,0.9979,0.46688,1.05762,0.000627331,0.000627331,0.000627331
87,7154.11,1.02826,0.55609,1.06139,0.9882,0.99449,0.9935,0.72781,1.00859,0.47096,1.05319,0.0006179,0.0006179,0.0006179
88,7237.59,1.03216,0.55441,1.04971,0.98742,0.9916,0.99384,0.73443,0.98152,0.47934,1.05708,0.000608468,0.000608468,0.000608468
89,7318.83,1.02408,0.56541,1.07248,0.99176,0.99392,0.99434,0.7407,0.97589,0.47481,1.0491,0.000599037,0.000599037,0.000599037
90,7402.28,1.04048,0.53755,1.05081,0.98828,0.99024,0.99414,0.74087,0.9694,0.47033,1.04357,0.000589605,0.000589605,0.000589605
91,7483.76,1.04621,0.56004,1.06428,0.97652,0.98493,0.99215,0.73162,1.01894,0.5073,1.0619,0.000580174,0.000580174,0.000580174
92,7567.09,1.04277,0.58755,1.07478,0.99515,0.98437,0.99387,0.74386,0.98115,0.47546,1.05739,0.000570743,0.000570743,0.000570743
93,7651.09,1.02891,0.54604,1.05148,0.99372,0.9976,0.99367,0.73766,0.98947,0.45531,1.05632,0.000561311,0.000561311,0.000561311
94,7732.21,1.03782,0.53577,1.07296,0.99277,0.99462,0.99379,0.74108,0.97928,0.46432,1.04842,0.00055188,0.00055188,0.00055188
95,7814.74,1.00441,0.53315,1.04846,0.99112,0.99537,0.99412,0.74523,0.97781,0.47221,1.05389,0.000542448,0.000542448,0.000542448
96,7894.39,1.0298,0.54749,1.0634,0.99603,0.99736,0.99369,0.74667,0.96619,0.46504,1.04822,0.000533017,0.000533017,0.000533017
97,7973.29,0.98637,0.51791,1.04662,0.98793,0.99187,0.99362,0.74431,0.98218,0.46806,1.05513,0.000523586,0.000523586,0.000523586
98,8054.61,0.99852,0.52773,1.0628,0.98879,0.98617,0.9932,0.73141,1.0304,0.46103,1.07054,0.000514154,0.000514154,0.000514154
99,8136.68,1.03384,0.52076,1.0538,0.97575,0.98369,0.9926,0.74667,0.98007,0.4593,1.04808,0.000504723,0.000504723,0.000504723
100,8216.96,1.00032,0.52115,1.04152,0.98018,0.99204,0.99311,0.73571,1.01496,0.44934,1.05893,0.000495291,0.000495291,0.000495291
101,8297.31,1.01677,0.54319,1.05942,0.98671,0.99884,0.99377,0.73996,0.98092,0.44393,1.0484,0.00048586,0.00048586,0.00048586
102,8375.61,1.01818,0.53978,1.06627,0.99232,0.9926,0.99406,0.75131,0.96349,0.44605,1.04732,0.000476429,0.000476429,0.000476429
103,8456.96,0.98957,0.53387,1.06685,0.98604,0.99136,0.99397,0.7498,0.97387,0.45849,1.04626,0.000466997,0.000466997,0.000466997
104,8536.38,1.04335,0.54248,1.0597,0.9811,0.99228,0.99287,0.74293,0.97568,0.46509,1.05328,0.000457566,0.000457566,0.000457566
105,8622.18,1.02142,0.51722,1.05981,0.98995,0.98989,0.99386,0.74816,0.94806,0.46048,1.0405,0.000448134,0.000448134,0.000448134
106,8708.89,1.01828,0.53661,1.06457,0.98683,0.99228,0.99417,0.75392,0.95087,0.46435,1.04293,0.000438703,0.000438703,0.000438703
107,8790.59,0.99044,0.51814,1.04411,0.99495,0.98917,0.99353,0.75091,0.958,0.47186,1.0456,0.000429272,0.000429272,0.000429272
108,8874.33,1.00606,0.53385,1.05914,0.99219,0.98929,0.99325,0.75909,0.93628,0.43859,1.03188,0.00041984,0.00041984,0.00041984
109,8956.61,1.01913,0.51766,1.05093,0.99451,0.9916,0.9941,0.75432,0.94168,0.43176,1.03654,0.000410409,0.000410409,0.000410409
110,9043.44,0.95059,0.51546,1.03338,0.99562,0.9916,0.99437,0.7522,0.96609,0.44149,1.05173,0.000400977,0.000400977,0.000400977
111,9128.47,0.96368,0.5162,1.03698,0.9964,0.99104,0.99388,0.76072,0.95918,0.43362,1.04784,0.000391546,0.000391546,0.000391546
112,9211.79,0.97834,0.52487,1.0411,0.98615,0.98844,0.99146,0.73424,0.98684,0.45397,1.04792,0.000382115,0.000382115,0.000382115
113,9282.51,0.98467,0.51473,1.0466,0.98217,0.99392,0.99011,0.72652,0.97217,0.44835,1.04268,0.000372683,0.000372683,0.000372683
114,9353.34,1.0102,0.5389,1.0592,0.99185,0.98359,0.99297,0.74563,0.97311,0.44451,1.04715,0.000363252,0.000363252,0.000363252
115,9424.69,0.99431,0.51729,1.0538,0.99003,0.98585,0.99316,0.75049,0.98951,0.44899,1.05812,0.00035382,0.00035382,0.00035382
116,9500.76,0.95918,0.5035,1.0517,0.99031,0.9839,0.99354,0.7632,0.9505,0.44067,1.04425,0.000344389,0.000344389,0.000344389
117,9574.6,0.97677,0.52115,1.05581,0.99539,0.98718,0.99365,0.76039,0.94258,0.43261,1.04237,0.000334958,0.000334958,0.000334958
118,9648.05,0.97104,0.50674,1.0415,0.99201,0.98986,0.99333,0.75417,0.97263,0.42779,1.05423,0.000325526,0.000325526,0.000325526
119,9722.3,0.95082,0.49948,1.03681,0.98816,0.99132,0.99301,0.76185,0.9414,0.42047,1.04194,0.000316095,0.000316095,0.000316095
120,9802.97,0.97108,0.5,1.04168,0.99349,0.98894,0.99371,0.76346,0.9462,0.41984,1.04088,0.000306663,0.000306663,0.000306663
121,9901.77,1.00096,0.51925,1.06865,0.98205,0.99187,0.99375,0.76199,0.94853,0.41707,1.03491,0.000297232,0.000297232,0.000297232
122,9984.02,0.96023,0.4991,1.03028,0.98718,0.98835,0.99352,0.76631,0.92114,0.41791,1.02522,0.000287801,0.000287801,0.000287801
123,10060.6,0.96843,0.49716,1.03928,0.98579,0.99319,0.99394,0.76402,0.92163,0.42014,1.03013,0.000278369,0.000278369,0.000278369
124,10136.4,0.90655,0.46729,1.02024,0.99116,0.98954,0.99362,0.76891,0.91242,0.41812,1.02492,0.000268938,0.000268938,0.000268938
125,10212.6,0.93873,0.4806,1.03997,0.98463,0.99562,0.9939,0.76858,0.91347,0.41595,1.01799,0.000259506,0.000259506,0.000259506
126,10288.7,0.97175,0.49033,1.03768,0.98714,0.99366,0.99397,0.77267,0.90239,0.40681,1.01522,0.000250075,0.000250075,0.000250075
127,10364.5,0.9552,0.47903,1.03221,0.98526,0.9933,0.99424,0.77144,0.91581,0.40738,1.0225,0.000240644,0.000240644,0.000240644
128,10440.4,0.98872,0.51293,1.04222,0.9867,0.99263,0.99416,0.76469,0.91664,0.42206,1.02889,0.000231212,0.000231212,0.000231212
129,10516,0.94884,0.49262,1.03664,0.98595,0.99375,0.99424,0.76807,0.91281,0.40812,1.02815,0.000221781,0.000221781,0.000221781
130,10592.8,0.99292,0.50405,1.04913,0.98631,0.99378,0.99411,0.76853,0.91585,0.40696,1.02766,0.000212349,0.000212349,0.000212349
131,10671.7,0.93813,0.46171,1.03906,0.98832,0.99055,0.99399,0.77111,0.90207,0.40496,1.02092,0.000202918,0.000202918,0.000202918
132,10748,0.93165,0.47857,1.01983,0.98768,0.99243,0.99385,0.76873,0.89744,0.39894,1.01887,0.000193487,0.000193487,0.000193487
133,10824.1,0.92611,0.47897,1.03189,0.98717,0.99486,0.99384,0.77329,0.89428,0.39256,1.01703,0.000184055,0.000184055,0.000184055
134,10901.8,0.91688,0.46812,1.01347,0.99387,0.99932,0.99406,0.77299,0.89181,0.39299,1.01483,0.000174624,0.000174624,0.000174624
135,10978,0.959,0.49689,1.02893,0.99249,0.99696,0.99395,0.77512,0.89958,0.39381,1.01718,0.000165192,0.000165192,0.000165192
136,11054.4,0.93865,0.47377,1.00657,0.98927,1,0.99429,0.77218,0.89822,0.38973,1.01924,0.000155761,0.000155761,0.000155761
137,11130,0.91204,0.47447,1.01778,0.9877,0.99838,0.99434,0.77506,0.8917,0.38567,1.0185,0.00014633,0.00014633,0.00014633
138,11206.2,0.95786,0.47558,1.02094,0.9919,0.99853,0.99441,0.77713,0.88924,0.38445,1.01742,0.000136898,0.000136898,0.000136898
139,11282.6,0.92635,0.48042,1.02431,0.98952,0.99621,0.99434,0.77489,0.89879,0.38607,1.02257,0.000127467,0.000127467,0.000127467
140,11359,0.93892,0.46057,1.02181,0.99239,0.99013,0.99425,0.7731,0.89464,0.38391,1.02023,0.000118035,0.000118035,0.000118035
141,11435.2,0.90189,0.44507,1.03821,0.99111,0.99411,0.99392,0.77052,0.89238,0.38852,1.01885,0.000108604,0.000108604,0.000108604
142,11512.2,0.92013,0.44413,1.02788,0.99266,0.99131,0.99387,0.76959,0.88779,0.393,1.01392,9.91726e-05,9.91726e-05,9.91726e-05
143,11588,0.89444,0.44543,1.01034,0.99272,0.99304,0.99403,0.77307,0.88511,0.39314,1.01246,8.97412e-05,8.97412e-05,8.97412e-05
144,11663.2,0.88218,0.43064,1.00623,0.99193,0.9931,0.99411,0.77566,0.88477,0.39304,1.01261,8.03098e-05,8.03098e-05,8.03098e-05
145,11738.9,0.86999,0.42482,1.00857,0.98726,0.99015,0.99401,0.77468,0.88757,0.39142,1.0144,7.08784e-05,7.08784e-05,7.08784e-05
146,11815.5,0.876,0.43491,1.00216,0.98249,0.9989,0.99396,0.76914,0.89228,0.3892,1.01718,6.1447e-05,6.1447e-05,6.1447e-05
147,11890.8,0.89193,0.42809,1.00227,0.97978,0.99812,0.99377,0.76868,0.89411,0.38758,1.01739,5.20156e-05,5.20156e-05,5.20156e-05
148,11966.7,0.88887,0.42604,1.00743,0.98186,0.99297,0.99382,0.77134,0.89193,0.38717,1.01627,4.25842e-05,4.25842e-05,4.25842e-05
149,12041.9,0.87888,0.43083,1.00784,0.97861,0.99866,0.99406,0.77403,0.88687,0.38526,1.0145,3.31528e-05,3.31528e-05,3.31528e-05
150,12117.9,0.88017,0.43118,0.99734,0.98139,0.9973,0.99412,0.77541,0.88713,0.38868,1.01358,2.37214e-05,2.37214e-05,2.37214e-05
